Variable Name/Key,Figma Preview URL,🟡 DC English Current,⚪ SOURCE English,🟡 DC Español Current,⚪ SOURCE Español,🟡 DC Amharic Current,Suggested Machine Translation,Status,Amharic Status,Environment,Notes
S6 - Request Replacement Card FIS - Keep Card,,!N/A!,Keep your card for next year. Benefits will be added to your new card.,!N/A!,Guarda tu tarjeta para el próximo año. Tus beneficios serán agregados a tu nueva tarjeta.,!N/A!,,!N/A!,,!N/A!,
S6 - Request Replacement Card FIS - Tap to Call,,!N/A!,Tap to call EBT Customer Service,!N/A!,Toca la pantalla para llamar a servicios al cliente de EBT,!N/A!,,!N/A!,,!N/A!,
S6 - Request Replacement Card FIS - Subtle Link,,!N/A!,I want a replacement for the card ending in [9999] mailed to a different address,!N/A!,Quiero que la tarjeta que termina en [9999] me la reemplacen y la envíen por correo a una dirección diferente.,!N/A!,,!N/A!,,!N/A!,
S6 - Confirm Request Replacement Card - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=9625-27457&t=CUwmodA5zAA5W9Mf-4,A few things to know before replacing DC SUN Bucks cards,A few things to know before replacing Summer EBT cards,Algunas cosas que debes saber antes de reemplazar las tarjetas de DC SUN Bucks,"

Algunas cosas que debes saber antes de reemplazar las tarjetas de Summer EBT",የ DC SUN Bucks ካርዶችን ከመተካትዎ በፊት ማወቅ ያለብዎት ጥቂት ነገሮች,የዲሲ የሰን ቡክስ ካርዶችን ከመተካትዎ በፊት ማወቅ ያለብዎት ጥቂት ነገሮች,Ready to Publish,,"Figma, Code",
S6 - Confirm Request Replacement Card - Body,,"Once a replacement card is created, the previous card will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Once a replacement card is created, the previous card will be permanently deactivated
Cards will arrive by mail in around 7-10 business days
Any remaining balance on the previous card will automatically be rolled over to the replacement card","Una vez que se cree una tarjeta de reemplazo, la tarjeta anterior quedará desactivada permanentemente.
Las tarjetas llegarán por correo en aproximadamente 7 a 10 días hábiles.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo.","Una vez que se cree una tarjeta de reemplazo, la tarjeta anterior quedará desactivada permanentemente.
Las tarjetas llegarán por correo en aproximadamente 7 a 10 días hábiles.
Cualquier saldo restante en la tarjeta anterior se transferirá automáticamente a la tarjeta de reemplazo.","ምትክ ካርድ አንዴ ከተፈጠረ፣ ቀዳሚው ካርድ በቋሚነት እንዳይሰራ ይደረጋል
ካርዶቹ በፖስታ ከ7-10 ባሉት የስራ ቀናት ውስጥ ይደርሳሉ
በቀድሞው ካርድ ላይ የቀረው ማንኛውም ቀሪ ሂሳብ በራስ-ሰር ወደ ምትክ ካርድ ይተላለፋል","ምትክ ካርድ አንዴ ከተፈጠረ፣ ቀዳሚው ካርድ በቋሚነት ይቦዝናል
ካርዶቹ በፖስታ ከ7-10 የስራ ቀናት ውስጥ ይደርሳሉ
በቀድሞው ካርድ ላይ የቀረው ማንኛውም ቀሪ ሂሳብ በራስ-ሰር ወደ ምትክ ካርድ ይተላለፋል",Ready to Publish,,"Figma, Code",
S6 - Confirm Request Replacement Card - Summary Title,,Card order summary,Card order summary,Resumen del pedido de tarjetas,Resumen del pedido de tarjetas,የካርድ ትዕዛዝ ማጠቃለያ,የካርድ ትዕዛዝ ማጠቃለያ,Ready to Publish,,"Figma, Code",
S6 - Confirm Request Replacement Card - Summary Address,,Your new card will be mailed to the following address:,A new card will be mailed to the following address:,Tu nueva tarjeta se enviará por correo a la siguiente dirección:,Las nuevas tarjetas se enviarán por correo a la siguiente dirección:,አዲሱ ካርድዎ ወደሚከተለው አድራሻ በፖስታ ይላካል፦,አዲሱ ካርድዎ ወደሚከተለው አድራሻ በፖስታ ይላካል፡,Ready to Publish,,"Figma, Code",
S6 - Confirm Request Replacement Card - Action,,Order card,Order card,Pedir tarjeta,Pedir tarjetas,የትዕዛዝ ካርድ,የትዕዛዝ ካርድ,Ready to Publish,,"Figma, Code",
S7 - Pin Card - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=10064-31207&t=CUwmodA5zAA5W9Mf-4,Activate a card,Activate a card,Activar una tarjeta,Activar una tarjeta,ካርድ ያግብሩ,ካርድ ያግብሩ,Ready to Publish,,"Figma, Code",
S7 - Pin Card - Body,,"Once you receive your student's card, call EBT Customer Service at (888) 328-2656. Follow the instructions to set the PIN number to activate the card.

When asked to ""enter your date of birth"" by the recording, do not enter your own birthday. Enter the student's birthdate in the format MONTH-DAY-YEAR.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address it was mailed to.","Once you receive your child's card, call EBT Customer Service at (888) 328-2656. Follow the instructions to set the PIN number to activate the card.

When asked to ""enter your date of birth"" by the recording, do not enter your own birthday. Enter the child's birthdate in the format MONTH-DAY-YEAR.

When asked to ""enter the primary cardholder's"" ZIP Code, enter the ZIP Code of the address it was mailed to.","Cuando recibas la tarjeta de tu estudiante, llama al servicio al cliente de EBT al (888) 328-2656. Sigue las instrucciones para crear el número PIN y activar la tarjeta.

Cuando la grabación te pida que “ingreses tu fecha de nacimiento”, no pongas tu propio cumpleaños. Ingresa la fecha de nacimiento de tu estudiante con el formato MES-DÍA-AÑO.

Cuando te pidan “ingresar el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió por correo.","Cuando recibas la tarjeta de tu niño/a, llama al servicio al cliente de EBT al (888) 328-2656. Sigue las instrucciones para crear el número PIN y activar la tarjeta.

Cuando la grabación te pida que “ingreses tu fecha de nacimiento”, no pongas tu propio cumpleaños. Ingresa la fecha de nacimiento de tu niño/a con el formato MES-DÍA-AÑO.

Cuando te pidan que “ingreses el código postal del titular principal de la tarjeta”, ingresa el código postal de la dirección a la que se envió la tarjeta por correo.","የተማሪዎን ካርድ አንዴ ከተቀበሉ በኋላ፣ ወደ EBT የደንበኛ አገልግሎት በ (888) 328-2656 ይደውሉ። ካርዱን ለማግበር የፒን ቁጥሩን ለማዘጋጀት መመሪያዎቹን ይከተሉ።

በቀረጻው ""የትውልድ ቀንዎን እንዲያስገቡ"" ሲጠየቁ፣ የራስዎን የልደት ቀን አያስገቡ። የተማሪውን የልደት ቀን በወር-ቀን-ዓመት ቅርጸት ያስገቡ።

""ዋናውን የካርድ ባለቤት"" የፖስታ ኮድ እንዲያስገቡ ሲጠየቁ፣ በፖስታ የተላከበትን አድራሻ ዚፕ ኮድ ያስገቡ።","የተማሪዎን ካርድ አንዴ ከተቀበሉ በኋላ፣ የEBT የደንበኞች አገልግሎትን በ (888) 328-2656 ይደውሉ። ካርዱን ለማግበር የፒን ቁጥሩን ለማዘጋጀት መመሪያዎቹን ይከተሉ።

በመዝገቡ ""የትውልድ ቀንዎን እንዲያስገቡ"" ሲጠየቁ፣ የራስዎን የልደት ቀን አያስገቡ። የተማሪውን የልደት ቀን በወር-ቀን-ዓመት ቅርጸት ያስገቡ።

""ዋናውን የካርድ ባለቤት"" የፖስታ ኮድ እንዲያስገቡ ሲጠየቁ፣ በፖስታ የተላከበትን አድራሻ የፖስታ ኮድ ያስገቡ።",Ready to Publish,,"Figma, Code",
S7 - Pin Card - Action,,Tap to call EBT Customer Service,Tap to call EBT Customer Service,Toca la pantalla para llamar a servicios al cliente de EBT,Toca la pantalla para llamar a servicios al cliente de EBT,ወደ EBT የደንበኞች አገልግሎት ለመደወል መታ ያድርጉ,ወደ EBT የደንበኞች አገልግሎት ለመደወል መታ ያድርጉ,Ready to Publish,,"Figma, Code",
S7 - Co-loaded Address Update - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=10064-31309&t=CUwmodA5zAA5W9Mf-4,Mailing address for SNAP or TANF EBT card,Mailing address for SNAP or TANF EBT card,Dirección postal para la tarjeta EBT de SNAP o TANF,Dirección postal para la tarjeta EBT de SNAP o TANF,የSNAP ወይም የTANF EBT ካርድ የፖስታ አድራሻ,የSNAP ወይም የTANF EBT ካርድ የፖስታ አድራሻ,Ready to Publish,,"Figma, Code",
S7 - Co-loaded Address Update - Body 1,,"The mailing address we have is the one listed on your household’s SNAP or TANF account. If your address has changed, it will not affect your student’s DC SUN Bucks benefits. The benefits are loaded onto your SNAP or TANF EBT card.","The mailing address we have is the one listed on your household’s SNAP or TANF account. If your address has changed, it will not affect your child’s DC SUN Bucks benefits. The benefits are loaded onto your SNAP or TANF EBT card.","La dirección de correspondencia que tenemos es la que aparece en la cuenta de SNAP o TANF de tu hogar. Si tu dirección ha cambiado, eso no afectará los beneficios de DC SUN Bucks de tu estudiante. Los beneficios se cargan a tu tarjeta EBT de SNAP o TANF.","La dirección postal que tenemos es la que aparece en la cuenta de SNAP o TANF de tu hogar. Si tu dirección cambió, eso no afectará los beneficios de DC SUN Bucks de tu niño/a. Los beneficios se cargan en tu tarjeta EBT de SNAP o TANF.",ያለን የፖስታ አድራሻ በቤተሰብዎ የSNAP ወይም የTANF መለያ ላይ የተዘረዘረው ነው። አድራሻዎ ከተቀየረ፣ የተማሪዎን የDC SUN Bucks ጥቅማ ጥቅሞች አይነካም። ጥቅሞቹ በSNAP ወይም TANF EBT ካርድዎ ላይ ይጫናሉ።,የኛ የፖስታ አድራሻ በቤተሰብዎ የSNAP ወይም የTANF አካውንት ላይ የተዘረዘረው ነው። አድራሻዎ ከተቀየረ፣ የተማሪዎን የDC SUN Bucks ጥቅማ ጥቅሞች አይጎዳውም። ጥቅማጥቅሞቹ በSNAP ወይም TANF EBT ካርድዎ ላይ ይጫናሉ።,Ready to Publish,,"Figma, Code",
S7 - Co-loaded Address Update - Body 2,,"If you lost your SNAP or TANF EBT card, you can get a new one at your local DC SNAP or TANF office.","If you lost your SNAP or TANF EBT card, you can get a new one at your local DC SNAP or TANF office.","Si perdiste tu tarjeta EBT de SNAP o TANF, puedes conseguir una nueva en tu oficina local de SNAP o TANF en DC.","Si perdiste tu tarjeta EBT de SNAP o TANF, puedes conseguir una nueva en tu oficina local de SNAP o TANF en DC.",የSNAP ወይም የTANF EBT ካርድዎ ከጠፋብዎት፣ በአካባቢዎ በሚገኘው የዲሲ SNAP ወይም የTANF ቢሮ አዲስ ካርድ ማግኘት ይችላሉ።,የSNAP ወይም የTANF EBT ካርድዎ ከጠፋብዎት፣ በአካባቢዎ በሚገኘው የዲሲ SNAP ወይም የTANF ቢሮ አዲስ ካርድ ማግኘት ይችላሉ።,Ready to Publish,,"Figma, Code",
S7 - Co-loaded Address Update - Action 2,,Tap here to learn how to get a replacement SNAP or TANF EBT card,Tap here to learn how to get a replacement SNAP or TANF EBT card,Toca aquí para aprender cómo conseguir una tarjeta de reemplazo de SNAP o TANF EBT.,Toca aquí para aprender cómo conseguir una tarjeta de reemplazo de SNAP o TANF EBT.,ምትክ የSNAP ወይም የTANF EBT ካርድ እንዴት ማግኘት እንደሚችሉ ለማወቅ እዚህ መታ ያድርጉ,ምትክ የSNAP ወይም የTANF EBT ካርድ እንዴት ማግኘት እንደሚችሉ ለማወቅ እዚህ መታ ያድርጉ,Ready to Publish,,"Figma, Code",
S7 - Co-loaded Address Update - Body 3,,"If you prefer, you can choose to get DC SUN Bucks notices by email instead of by physical mail.","If you prefer, you can choose to get DC SUN Bucks notices by email instead of by physical mail.","Si lo prefieres, puedes elegir recibir los avisos de DC SUN Bucks por correo electrónico en lugar de por correo postal.","Si lo prefieres, puedes elegir recibir los avisos de DC SUN Bucks por correo electrónico en lugar de por correo postal.",ከፈለጉ፣ የDC SUN Bucks ማስታወቂያዎችን በአካል በፖስታ ከማግኘት ይልቅ በኢሜል ማግኘት ይችላሉ።,ከፈለጉ፣ የዲሲ ሰን ቡክስ ማስታወቂያዎችን በአካል በፖስታ ሳይሆን በኢሜል ማግኘት ይችላሉ።,Ready to Publish,,"Figma, Code",
S7 - Co-loaded Address Update - Action 3,,Tap here to update your contact preferences,Tap here to update your contact preferences,Toca aquí para actualizar tus preferencias de contacto.,Toca aquí para actualizar tus preferencias de contacto.,የመገኝባ መረጃ ምርጫዎችዎን ለማዘመን እዚህ መታ ያድርጉ,የእውቂያ ምርጫዎችዎን ለማዘመን እዚህ መታ ያድርጉ,Ready to Publish,,"Figma, Code",
S8 - OTP Enter Email - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=3247-16179&t=CUwmodA5zAA5W9Mf-4,Enter your email and we'll send you a code to log into your DC SUN Bucks account,Enter your email and we'll send you a code to log into your DC SUN Bucks account,Ingresa tu correo electrónico y te enviaremos un código para entrar a tu cuenta de DC SUN Bucks,Ingresa tu correo electrónico y te enviaremos un código para entrar a tu cuenta de DC SUN Bucks,ኢሜልዎን ያስገቡ እና ወደ DC SUN Bucks መለያዎ ለመግባት ኮድ እንልክልዎታለን።,ኢሜልዎን ያስገቡ እና ወደ ዲሲ ሰን ቡክስ መለያዎ ለመግባት ኮድ እንልክልዎታለን።,Ready to Publish,,"Figma, Code",
S8 - OTP Enter Email - Body,,"If you are your student’s primary guardian and you are 18 or older, enter your email to see their DC SUN Bucks information. You may need your SNAP or TANF case number ready to log in for the first time if you have one.",If you are your child’s primary guardian enter your email to see their DC SUN Bucks information.,"Si eres el cuidador principal de tu estudiante y tienes 18 años o más, ingresa tu correo electrónico para ver la información de DC SUN Bucks. Es posible que necesites tener listo tu número de identificación del caso de SNAP o TANF para iniciar sesión por primera vez.","Si eres el cuidador principal de tu niño/a, ingresa tu correo electrónico para ver su información de DC SUN Bucks.",የተማሪዎ ዋና አሳዳጊ ከሆኑ እና ዕድሜዎ 18 ወይም ከዚያ በላይ ከሆነ፣ የዲሲ ሰኔ ቡክስ መረጃቸውን ለማየት ኢሜልዎን ያስገቡ። የSNAP ወይም የTANF የጉዳይ ቁጥርዎ ካለዎት ለመጀመሪያ ጊዜ ለመግባት ዝግጁ ሊሆን ይችላል።,የተማሪዎ ዋና አሳዳጊ ከሆኑ እና ዕድሜዎ 18 ወይም ከዚያ በላይ ከሆነ፣ የዲሲ ሰኔ ቡክስ መረጃቸውን ለማየት ኢሜልዎን ያስገቡ። የSNAP ወይም የTANF የጉዳይ ቁጥርዎ ካለዎት ለመጀመሪያ ጊዜ ለመግባት ዝግጁ ሊሆን ይችላል።,Ready to Publish,,"Figma, Code","cuidador principal or ""tutor principal"" or ""representate legal?"""
S8 - OTP Enter Email - Details Help,,Get more help accessing my account,Get more help accessing my account,Recibir más ayuda para acceder a mi cuenta,Recibir más ayuda para acceder a mi cuenta,መለያዬን ለመድረስ ተጨማሪ እገዛ ያግኙ,መለያዬን ለመድረስ ተጨማሪ እገዛ ያግኙ,Ready to Publish,Amharic Needs Human Review,Figma,
S8 - OTP Enter Email - Details Body,,"Accounts are available for guardians 18 or older. If you’re under 18, contact us to get help managing your family’s DC SUN Bucks benefits.

Your SNAP or TANF case number will help you quickly log into your DC SUN Bucks account for the first time. If you don’t have one, you can use your Social Security Number (SSN) or Individual Taxpayer ID Number (ITIN) instead.","Accounts are available for guardians 18 or older. If you’re under 18, contact us to get help managing your family’s DC SUN Bucks benefits.

Your SNAP or TANF case number will help you quickly log into your DC SUN Bucks account for the first time. If you don’t have one, you can use your Social Security Number (SSN) or Individual Taxpayer ID Number (ITIN) instead.","Las cuentas están disponibles para cuidadores de 18 años o más. Si eres menor de 18 años, contáctanos para recibir ayuda para administrar los beneficios de DC SUN Bucks de tu familia.

Tu número de identificación del caso de SNAP o TANF te ayudará a iniciar sesión rápidamente en tu cuenta de DC SUN Bucks por primera vez. Si no tienes uno, puedes usar tu número de Seguro Social (SSN) o tu Número de Identificación Personal del Contribuyente (ITIN).","Las cuentas están disponibles para cuidadores de 18 años o más. Si eres menor de 18 años, contáctanos para recibir ayuda para administrar los beneficios de DC SUN Bucks de tu familia.

Tu número de identificación del caso de SNAP o TANF te ayudará a iniciar sesión rápidamente en tu cuenta de DC SUN Bucks por primera vez. Si no tienes uno, puedes usar tu número de Seguro Social (SSN) o tu Número de Identificación Personal del Contribuyente (ITIN).","አካውንቶች ለ18 ዓመት ወይም ከዚያ በላይ ለሆኑ አሳዳጊዎች ይገኛሉ። ከ18 ዓመት በታች ከሆኑ፣ የቤተሰብዎን የዲሲ ሳን ቡክስ ጥቅማ ጥቅሞችን ለማስተዳደር እርዳታ ለማግኘት እኛን ያነጋግሩን።

የSNAP ወይም የTANF የጉዳይ ቁጥርዎ ለመጀመሪያ ጊዜ ወደ ዲሲ ሳን ቡክስ መለያዎ በፍጥነት እንዲገቡ ይረዳዎታል። ከሌለዎት በምትኩ የማህበራዊ ዋስትና ቁጥርዎን (SSN) ወይም የግለሰብ የግብር ከፋይ መታወቂያ ቁጥርዎን (ITIN) መጠቀም ይችላሉ።","አካውንቶች ለ18 ዓመት ወይም ከዚያ በላይ ለሆኑ አሳዳጊዎች ይገኛሉ። ከ18 ዓመት በታች ከሆኑ፣ የቤተሰብዎን የዲሲ ሳን ቡክስ ጥቅማ ጥቅሞችን ለማስተዳደር እርዳታ ለማግኘት እኛን ያነጋግሩን።

የSNAP ወይም የTANF የጉዳይ ቁጥርዎ ለመጀመሪያ ጊዜ ወደ ዲሲ ሳን ቡክስ መለያዎ በፍጥነት እንዲገቡ ይረዳዎታል። ከሌለዎት በምትኩ የማህበራዊ ዋስትና ቁጥርዎን (SSN) ወይም የግለሰብ የግብር ከፋይ መታወቂያ ቁጥርዎን (ITIN) መጠቀም ይችላሉ።",Ready to Publish,Amharic Needs Human Review,Figma,
S8 - OTP Enter Email - Label Email,,Enter your email address,Enter your email address,Ingresa tu correo electrónico,Ingresa tu correo electrónico,የኢሜይል አድራሻዎን ያስገቡ,የኢሜይል አድራሻዎን ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=7048-13137&t=CUwmodA5zAA5W9Mf-4,Confirm the code sent to your email,Confirm the code sent to your email,Confirma el código que enviamos a tu correo electrónico ,Confirma el código que enviamos a tu correo electrónico ,ወደ ኢሜይልዎ የተላከውን ኮድ ያረጋግጡ,ወደ ኢሜይልዎ የተላከውን ኮድ ያረጋግጡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Label Code,,Enter the 6 digit confirmation code,Enter the 6 digit confirmation code,Ingresa el código de confirmación de 6 dígitos,Ingresa el código de confirmación de 6 dígitos,ባለ 6 አሃዝ የማረጋገጫ ኮድ ያስገቡ,ባለ 6 አሃዝ የማረጋገጫ ኮድ ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Label Digit 1,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=7374-38522&t=CUwmodA5zAA5W9Mf-4,Enter first digit of the confirmation code,Enter first digit of the confirmation code,Ingresa el primer dígito del código de confirmación,Ingresa el primer dígito del código de confirmación,የማረጋገጫ ኮዱን የመጀመሪያ አሃዝ ያስገቡ,የማረጋገጫ ኮዱን የመጀመሪያ አሃዝ ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Label Digit 2,,Enter second digit of the confirmation code,Enter second digit of the confirmation code,Ingresa el segundo dígito del código de confirmación,Ingresa el segundo dígito del código de confirmación,የማረጋገጫ ኮዱን ሁለተኛ አሃዝ ያስገቡ,የማረጋገጫ ኮዱን ሁለተኛ አሃዝ ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Label Digit 3,,Enter third digit of the confirmation code,Enter third digit of the confirmation code,Ingresa el tercer dígito del código de confirmación,Ingresa el tercer dígito del código de confirmación,የማረጋገጫ ኮዱን ሶስተኛ አሃዝ ያስገቡ,የማረጋገጫ ኮዱን ሶስተኛ አሃዝ ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Label Digit 4,,Enter fourth digit of the confirmation code,Enter fourth digit of the confirmation code,Ingresa el cuarto dígito del código de confirmación,Ingresa el cuarto dígito del código de confirmación,የማረጋገጫ ኮዱን አራተኛ አሃዝ ያስገቡ,የማረጋገጫ ኮዱን አራተኛ አሃዝ ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Label Digit 5,,Enter fifth digit of the confirmation code,Enter fifth digit of the confirmation code,Ingresa el quinto dígito del código de confirmación,Ingresa el quinto dígito del código de confirmación,የማረጋገጫ ኮዱን አምስተኛ አሃዝ ያስገቡ,የማረጋገጫ ኮዱን አምስተኛ አሃዝ ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Label Digit 6,,Enter sixth digit of the confirmation code,Enter sixth digit of the confirmation code,Ingresa el sexto dígito del código de confirmación,Ingresa el sexto dígito del código de confirmación,የማረጋገጫ ኮዱን ስድስተኛ አሃዝ ያስገቡ,የማረጋገጫ ኮዱን ስድስተኛ አሃዝ ያስገቡ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Invalid Error Message,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=7374-38848&t=CUwmodA5zAA5W9Mf-4,Enter a valid [6] digit code. Tap here to send a new code.,Enter a valid [6] digit code. Tap here to send a new code.,Ingresa un código válido de [6] dígitos. Toca aquí para enviar un código nuevo,Ingresa un código válido de [6] dígitos. Toca aquí para enviar un código nuevo.,ትክክለኛ [6] አሃዝ ኮድ ያስገቡ። አዲስ ኮድ ለመላክ እዚህ መታ ያድርጉ።,ትክክለኛ [6] አሃዝ ኮድ ያስገቡ። አዲስ ኮድ ለመላክ እዚህ ይንኩ።,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Action Resend,,Resend code,Resend code,Reenviar el código,Reenviar el código,ኮድ እንደገና ላክ,ኮድ እንደገና ላክ,Ready to Publish,,"Figma, Code",
S8 - OTP Confirm - Action Confirm,,Confirm,Confirm,Confirmar,Confirmar,አረጋግጥ,አረጋግጥ,Ready to Publish,,"Figma, Code",
S8 - OTP Email Message - Sender,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=7067-13027&t=CUwmodA5zAA5W9Mf-4,DC SUN Bucks,DC SUN Bucks,DC SUN Bucks,DC SUN Bucks,DC SUN Bucks,ዲሲ ሰን ባክስ,Ready to Publish,,"Figma, Code",
S8 - OTP Email Message - Subject,,Your DC SUN Bucks Login Code,Your DC SUN Bucks Login Code,Tu código de acceso de DC SUN Bucks,Tu código de acceso de DC SUN Bucks,የእርስዎ የDC SUN Bucks የመግቢያ ኮድ,የእርስዎ የዲሲ ሰን ቡክስ የመግቢያ ኮድ,Ready to Publish,,"Figma, Code",
S8 - OTP Email Message - Body 1,,Use this code to log in to your account.,Use this code to log in to your account.,Usa este código para iniciar sesión en tu cuenta,Usa este código para iniciar sesión en tu cuenta,ወደ መለያዎ ለመግባት ይህንን ኮድ ይጠቀሙ።,ወደ መለያዎ ለመግባት ይህንን ኮድ ይጠቀሙ።,Ready to Publish,,"Figma, Code",
S8 - OTP Email Message - Body 2,,990011,990011,990011,990011,990011,990011,Ready to Publish,,"Figma, Code",
S8 - OTP Email Message - Body 3,,The code will expire in 10 minutes. Do not share this code with anyone.,The code will expire in 10 minutes. Do not share this code with anyone.,El código se vence en 10 minutos. No compartas este código con nadie.,El código se vence en 10 minutos. No compartas este código con nadie.,ኮዱ በ10 ደቂቃ ውስጥ የአገልግሎት ጊዜው ያበቃል። ይህንን ኮድ ከማንም ጋር አያጋሩ።,ኮዱ በ10 ደቂቃ ውስጥ ያበቃል። ይህንን ኮድ ከማንም ጋር አያጋሩ።,Ready to Publish,,"Figma, Code",
S8 - ID Proofing Optional ID Info - Title,https://www.figma.com/design/avGrKdO2PMFQSOkgjNaWGd/DC-10-14-25-%F0%9F%9F%A1-Enrollment-Checker---Self-service-Portal--WORKING-?node-id=7049-13203&t=CUwmodA5zAA5W9Mf-4,"Thank you for confirming your email. To keep your account safe, we need to check your identity","Thank you for confirming your email. To keep your account safe, we need to check your identity","Gracias por confirmar tu correo electrónico. Para mantener tu cuenta segura, necesitamos verificar tu identidad","Gracias por confirmar tu correo electrónico. Para mantener tu cuenta segura, necesitamos verificar tu identidad",ኢሜልዎን ስላረጋገጡ እናመሰግናለን። የመለያዎን ደህንነት ለመጠበቅ፣ ማንነትዎን ማረጋገጥ እንፈልጋለን,ኢሜይልዎን ስላረጋገጡ እናመሰግናለን። የመለያዎን ደህንነት ለመጠበቅ፣ ማንነትዎን ማረጋገጥ አለብን,Ready to Publish,,"Figma, Code",
S8 - ID Proofing Optional ID Info - Body,,"By providing your date of birth and one ID number, you consent to sharing this information with our third-party vendor. We will only use these once and not share or save them without your permission.","By providing your date of birth and one ID number, you consent to sharing this information with our third-party vendor. We will only use these once and not share or save them without your permission.  ","Al proporcionar tu fecha de nacimiento y un número de identificación, aceptas compartir esta información con nuestro proveedor externo. Solo utilizaremos estos datos una vez y no los compartiremos ni los guardaremos sin tu permiso.","Al proporcionar tu fecha de nacimiento y un número de identificación, das tu consentimiento para compartir esta información con nuestro proveedor externo. Solo utilizaremos estos datos una vez y no los compartiremos ni los guardaremos sin tu permiso.",የልደት ቀንዎን እና አንድ የመታወቂያ ቁጥርዎን በማቅረብ፣ ይህንን መረጃ ለሶስተኛ ወገን አቅራቢያችን ለማጋራት ተስማምተዋል። እነዚህን አንድ ጊዜ ብቻ እንጠቀማለን፤ ያለእርስዎ ፈቃድ አናጋራም ወይም አናስቀምጥም።,የልደት ቀንዎን እና አንድ የመታወቂያ ቁጥርዎን በማቅረብ፣ ይህንን መረጃ ከሶስተኛ ወገን አቅራቢችን ጋር ለማጋራት ተስማምተዋል። እነዚህን መረጃዎች አንድ ጊዜ ብቻ እንጠቀማለን እና ያለእርስዎ ፈቃድ አናጋራም ወይም አናስቀምጥም።,Ready to Publish,,"Figma, Code",
S8 - ID Proofing Optional ID Info - Label DOB,,What's your date of birth?,What's your date of birth?,¿Cuál es tu fecha de nacimiento?,¿Cuál es tu fecha de nacimiento?,የትውልድ ቀንዎ መቼ ነው?,የትውልድ ቀንህ ስንት ነው?,Ready to Publish,,"Figma, Code",
